Latitude (decimal degrees): 35.375
Longitude (decimal degrees): -120.054
Elevation (m): 620.0
Irradiance Time Offset (h): 0.5
month,year
1,2011
2,2007
3,2021
4,2022
5,2009
6,2021
7,2017
8,2005
9,2014
10,2017
11,2005
12,2013
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20110101:0000,8.54,46.75,32.4,16.64,29.75,270.1,1.37,68.0,93900.0
20110101:0100,7.54,51.45,0.0,-0.0,0.0,270.21,1.41,66.0,93940.0
20110101:0200,6.55,56.15,0.0,-0.0,0.0,270.31,1.44,81.0,93960.0
20110101:0300,5.55,60.84,0.0,-0.0,0.0,270.42,1.48,92.0,93970.0
20110101:0400,4.55,65.54,0.0,-0.0,0.0,270.53,1.52,106.0,93980.0
20110101:0500,3.55,70.24,0.0,-0.0,0.0,270.63,1.55,119.0,94020.0
20110101:0600,2.55,74.94,0.0,-0.0,0.0,270.74,1.59,127.0,94060.0
20110101:0700,1.55,79.64,0.0,-0.0,0.0,270.85,1.63,143.0,94060.0
20110101:0800,1.76,67.5,0.0,-0.0,0.0,245.95,1.52,162.0,94040.0
20110101:0900,1.7,67.4,0.0,-0.0,0.0,254.65,1.45,194.0,94060.0
20110101:1000,1.14,75.75,0.0,-0.0,0.0,277.7,1.59,200.0,94070.0
20110101:1100,1.76,78.95,0.0,-0.0,0.0,312.75,1.59,193.0,94070.0
20110101:1200,1.39,82.0,0.0,-0.0,0.0,271.7,1.52,189.0,94060.0
20110101:1300,1.42,82.0,0.0,-0.0,0.0,276.15,1.38,179.0,94070.0
20110101:1400,1.26,85.25,0.0,-0.0,0.0,280.05,1.45,170.0,94120.0
20110101:1500,1.12,88.55,0.0,-0.0,0.0,279.05,1.52,175.0,94190.0
20110101:1600,1.72,88.6,119.2,530.9,45.6,294.55,1.45,180.0,94250.0
20110101:1700,4.41,73.45,169.8,265.43,91.25,288.15,1.52,183.0,94320.0
20110101:1800,6.31,63.25,254.15,255.6,147.4,312.35,2.07,182.0,94360.0
20110101:1900,8.39,54.65,227.7,103.84,176.25,304.2,3.17,177.0,94290.0
20110101:2000,9.08,52.7,242.15,82.61,198.85,333.85,3.72,180.0,94210.0
20110101:2100,9.29,56.9,155.65,24.52,143.35,310.05,3.59,185.0,94170.0
20110101:2200,8.98,56.9,105.25,9.78,101.05,326.5,2.97,184.0,94140.0
20110101:2300,8.63,61.3,43.05,0.0,43.05,336.35,2.41,180.0,94130.0
20110102:0000,7.85,66.05,12.05,0.0,12.05,336.15,2.48,178.0,94170.0
20110102:0100,7.17,73.8,0.0,-0.0,0.0,336.45,2.28,171.0,94180.0
20110102:0200,6.86,73.8,0.0,-0.0,0.0,338.1,2.28,169.0,94160.0
20110102:0300,6.66,73.7,0.0,-0.0,0.0,331.1,2.14,176.0,94160.0
20110102:0400,6.39,73.7,0.0,-0.0,0.0,322.6,2.0,184.0,94160.0
20110102:0500,6.28,73.7,0.0,-0.0,0.0,325.7,2.34,187.0,94170.0
20110102:0600,6.13,73.7,0.0,-0.0,0.0,317.75,2.97,182.0,94140.0
20110102:0700,6.49,68.3,0.0,-0.0,0.0,314.1,3.17,171.0,94070.0
20110102:0800,6.41,68.3,0.0,-0.0,0.0,308.5,3.45,166.0,93970.0
20110102:0900,6.31,65.75,0.0,-0.0,0.0,305.75,3.45,162.0,93880.0
20110102:1000,5.98,63.25,0.0,-0.0,0.0,293.2,3.24,158.0,93800.0
20110102:1100,5.21,68.1,0.0,-0.0,0.0,276.75,2.69,170.0,93810.0
20110102:1200,4.57,70.7,0.0,-0.0,0.0,291.25,2.48,169.0,93820.0
20110102:1300,4.28,76.25,0.0,-0.0,0.0,308.65,2.76,153.0,93770.0
20110102:1400,4.23,76.25,0.0,-0.0,0.0,316.4,3.45,147.0,93780.0
20110102:1500,4.13,79.2,0.0,-0.0,0.0,315.45,4.21,145.0,93780.0
20110102:1600,4.17,82.3,45.7,98.64,32.05,328.4,3.79,140.0,93740.0
20110102:1700,4.54,82.35,158.45,203.03,98.35,320.1,3.24,137.0,93760.0
20110102:1800,5.47,79.4,253.8,186.56,175.8,297.85,3.1,134.0,93770.0
20110102:1900,7.02,76.65,290.4,200.47,190.9,318.75,3.93,138.0,93580.0
20110102:2000,7.3,79.55,165.15,63.1,132.0,309.65,3.59,153.0,93530.0
20110102:2100,7.08,79.55,187.25,37.06,168.6,329.4,3.17,164.0,93520.0
20110102:2200,7.26,82.6,107.3,21.21,98.15,322.6,3.66,166.0,93480.0
20110102:2300,7.07,82.6,60.6,17.31,55.15,320.85,3.45,164.0,93470.0
20110103:0000,6.8,82.55,23.75,35.7,17.9,332.5,2.28,159.0,93510.0
20110103:0100,6.16,82.55,0.0,-0.0,0.0,317.9,2.55,174.0,93540.0
20110103:0200,5.32,82.5,0.0,-0.0,0.0,289.5,2.14,178.0,93600.0
20110103:0300,5.08,85.6,0.0,-0.0,0.0,308.85,1.93,179.0,93590.0
20110103:0400,3.82,88.8,0.0,-0.0,0.0,268.2,1.66,181.0,93620.0
20110103:0500,3.29,88.75,0.0,-0.0,0.0,283.7,1.24,182.0,93630.0
20110103:0600,2.99,88.7,0.0,-0.0,0.0,269.75,1.03,192.0,93660.0
20110103:0700,3.71,88.75,0.0,-0.0,0.0,299.4,0.9,156.0,93630.0
20110103:0800,3.53,92.15,0.0,-0.0,0.0,307.9,0.9,158.0,93620.0
20110103:0900,3.6,92.15,0.0,-0.0,0.0,312.15,0.83,153.0,93630.0
20110103:1000,3.34,88.75,0.0,-0.0,0.0,282.75,0.76,101.0,93630.0
20110103:1100,3.1,92.15,0.0,-0.0,0.0,290.85,0.76,86.0,93650.0
20110103:1200,3.11,92.15,0.0,-0.0,0.0,287.75,0.62,82.0,93670.0
20110103:1300,2.96,88.7,0.0,-0.0,0.0,296.65,0.62,89.0,93660.0
20110103:1400,2.8,88.7,0.0,-0.0,0.0,283.7,0.62,84.0,93720.0
20110103:1500,2.87,88.7,0.0,-0.0,0.0,308.3,0.62,92.0,93770.0
20110103:1600,2.75,92.15,120.0,404.39,64.1,279.85,0.83,93.0,93810.0
