,temp_air,ghi,dni,dhi,wind_speed
2022-01-01 00:00:00,8.54,32.4,16.64,29.75,1.37
2022-01-01 01:00:00,7.54,0.0,-0.0,0.0,1.41
2022-01-01 02:00:00,6.55,0.0,-0.0,0.0,1.44
2022-01-01 03:00:00,5.55,0.0,-0.0,0.0,1.48
2022-01-01 04:00:00,4.55,0.0,-0.0,0.0,1.52
2022-01-01 05:00:00,3.55,0.0,-0.0,0.0,1.55
2022-01-01 06:00:00,2.55,0.0,-0.0,0.0,1.59
2022-01-01 07:00:00,1.55,0.0,-0.0,0.0,1.63
2022-01-01 08:00:00,1.76,0.0,-0.0,0.0,1.52
2022-01-01 09:00:00,1.7,0.0,-0.0,0.0,1.45
2022-01-01 10:00:00,1.14,0.0,-0.0,0.0,1.59
2022-01-01 11:00:00,1.76,0.0,-0.0,0.0,1.59
2022-01-01 12:00:00,1.39,0.0,-0.0,0.0,1.52
2022-01-01 13:00:00,1.42,0.0,-0.0,0.0,1.38
2022-01-01 14:00:00,1.26,0.0,-0.0,0.0,1.45
2022-01-01 15:00:00,1.12,0.0,-0.0,0.0,1.52
2022-01-01 16:00:00,1.72,119.2,530.9,45.6,1.45
2022-01-01 17:00:00,4.41,169.8,265.43,91.25,1.52
2022-01-01 18:00:00,6.31,254.15,255.6,147.4,2.07
2022-01-01 19:00:00,8.39,227.7,103.84,176.25,3.17
2022-01-01 20:00:00,9.08,242.15,82.61,198.85,3.72
2022-01-01 21:00:00,9.29,155.65,24.52,143.35,3.59
2022-01-01 22:00:00,8.98,105.25,9.78,101.05,2.97
2022-01-01 23:00:00,8.63,43.05,0.0,43.05,2.41
2022-01-02 00:00:00,7.85,12.05,0.0,12.05,2.48
2022-01-02 01:00:00,7.17,0.0,-0.0,0.0,2.28
2022-01-02 02:00:00,6.86,0.0,-0.0,0.0,2.28
2022-01-02 03:00:00,6.66,0.0,-0.0,0.0,2.14
2022-01-02 04:00:00,6.39,0.0,-0.0,0.0,2.0
2022-01-02 05:00:00,6.28,0.0,-0.0,0.0,2.34
2022-01-02 06:00:00,6.13,0.0,-0.0,0.0,2.97
